Flutter Android;Flutter iOS;Native Android;Native iOS
212;169;242;260
232;165;210;264
212;191;228;252
225;188;217;296
216;196;246;276
225;177;221;276
221;204;257;263
246;221;222;266
222;186;241;262
232;198;237;221
224;208;218;290
225;205;214;302
245;195;210;298
215;204;240;254
237;180;207;271
216;189;244;264
240;159;230;305
236;209;251;315
231;189;202;265
229;201;252;260
209;193;232;269
215;197;232;260
228;173;210;262
221;183;223;257
222;192;225;278
235;197;224;300
207;183;247;301
214;177;230;315
218;176;241;286
218;177;236;249
229;183;229;274
222;182;226;262
217;185;236;219
238;196;237;289
236;197;203;294
233;178;224;298
227;181;219;258
224;194;221;256
224;179;214;284
218;193;236;238
232;172;208;233
219;177;231;264
232;165;207;289
230;202;213;321
225;175;225;258
225;192;224;251
224;175;216;297
215;166;229;314
219;196;221;263
233;182;213;289
