Flutter Android;Flutter iOS;Native Android;Native iOS
281;613;307;280
288;603;337;272
272;649;299;273
205;418;337;268
273;562;302;271
277;574;326;270
280;518;309;272
289;562;319;278
268;458;320;259
255;621;310;275
289;630;313;276
278;542;309;281
273;510;325;274
284;537;310;272
267;621;318;271
273;557;314;276
328;598;325;278
260;527;322;273
255;535;298;283
261;508;325;269
260;615;330;275
258;622;315;278
264;606;319;275
260;536;333;276
274;480;303;277
270;646;320;279
256;571;314;282
277;554;314;269
271;517;326;270
275;534;314;272
273;650;325;273
276;524;321;270
261;549;318;275
280;569;304;270
289;460;313;276
264;509;331;275
278;590;305;268
271;515;310;270
268;629;330;280
267;540;310;272
261;559;340;269
276;514;327;276
271;667;320;277
282;595;318;274
280;602;308;267
307;518;322;268
272;650;341;272
266;593;302;277
268;561;316;274
267;540;328;282
