Flutter Android;Flutter iOS;Native Android;Native iOS
22;25;13;41
15;22;8;48
15;24;12;49
14;27;11;40
15;22;10;47
25;24;9;50
14;21;10;48
21;28;11;43
17;30;18;46
23;28;13;47
15;25;12;48
15;30;13;42
15;26;11;55
24;24;13;50
16;23;13;45
21;28;12;50
14;23;11;48
14;21;11;40
15;29;13;45
14;29;12;46
16;26;20;54
15;21;13;47
14;21;14;46
16;25;10;50
15;29;10;51
16;25;11;45
14;30;13;50
14;26;10;44
15;30;11;44
14;28;13;48
17;22;12;47
13;26;13;51
15;25;11;47
11;23;10;53
16;25;10;42
15;23;10;44
13;28;13;48
15;29;12;49
23;29;11;55
12;25;13;47
13;25;14;48
15;26;12;51
13;30;12;52
23;29;11;38
14;21;12;36
13;29;16;51
11;28;13;43
13;30;11;50
14;21;13;48
12;24;14;54
