Flutter Android;Flutter iOS;Native Android;Native iOS
47;64;6;8
49;69;6;10
60;67;4;11
48;61;9;8
53;71;5;7
53;94;6;10
49;64;9;7
58;70;4;8
52;65;7;8
50;69;7;8
46;86;6;9
52;67;5;8
58;69;7;8
56;67;8;8
51;71;5;7
52;75;6;8
54;71;5;8
45;61;8;8
55;62;7;10
56;62;9;8
55;62;7;8
57;67;7;6
58;66;4;7
44;61;7;11
50;65;7;8
62;74;5;12
53;77;8;13
44;65;6;8
49;69;8;7
52;80;6;10
50;65;6;8
60;74;8;7
40;71;5;8
61;65;5;11
53;71;5;8
54;69;8;6
53;71;4;8
62;68;4;9
50;66;7;8
61;70;5;7
54;69;7;11
59;75;5;7
49;71;6;7
45;68;7;8
63;74;5;9
44;75;4;9
55;67;9;8
54;70;8;11
58;70;7;9
47;64;5;9
